Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Waste management officer,Manufacturing,Increasing,Moderate,61264.41,PhD,19,1365,5862,77.59,53,USA,37.33
Marine scientist,IT,Decreasing,Low,58368.88,High School,2,7297,4001,62.73,70.45,USA,47.19
Office manager,Transportation,Increasing,Low,89392.31,High School,15,3132,9282,1.8,63.45,USA,21.63
Manufacturing engineer,Entertainment,Decreasing,Low,31038.28,Master’s Degree,12,7655,4548,9.01,75.42,USA,71.64
Paramedic,Finance,Decreasing,High,53167.19,Associate Degree,18,7471,3160,92.26,78.76,USA,27.87
Research scientist (life sciences),Retail,Decreasing,Low,85938.26,Master’s Degree,6,9576,2149,91.28,63.16,USA,49.74
Chartered loss adjuster,IT,Decreasing,Low,128540.41,PhD,18,2341,9548,84.95,98.11,USA,54.83
Toxicologist,Transportation,Decreasing,High,108610.02,Bachelor’s Degree,9,3853,562,16.64,90.67,USA,73.49
Consulting civil engineer,Healthcare,Increasing,Low,82084.06,High School,1,3288,2904,30.78,28.14,USA,39.93
"Engineer, technical sales",Manufacturing,Increasing,Low,39256.38,High School,5,5604,798,20.16,68.79,USA,52.7
Field trials officer,Retail,Decreasing,High,120550.02,Bachelor’s Degree,17,3406,1589,96.85,6.25,USA,65.11
Osteopath,Transportation,Decreasing,Moderate,95885.76,PhD,2,5249,9943,51.37,11.79,USA,40.53
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,Moderate,91713.21,High School,20,899,1895,99.23,44.57,USA,70.47
Television floor manager,Healthcare,Increasing,Moderate,141106.74,Bachelor’s Degree,11,698,805,83.72,79.55,USA,38.32
Herpetologist,Retail,Increasing,Moderate,83422.39,High School,18,8079,7215,71.99,33.19,USA,32.35
Chief Strategy Officer,Entertainment,Increasing,Low,77784.78,Associate Degree,3,4191,762,42.82,36.11,USA,43.8
Civil Service administrator,Healthcare,Increasing,Low,45616.59,Master’s Degree,8,8827,9829,94.29,15.45,USA,49.45
"Horticulturist, commercial",Manufacturing,Decreasing,High,87926.35,Bachelor’s Degree,9,5023,9685,19.15,59.8,USA,74.77
"Geologist, engineering",Manufacturing,Increasing,Low,88674.26,Associate Degree,5,3273,8456,61.66,25.34,USA,64.72
Make,Healthcare,Increasing,High,44749.12,Associate Degree,16,6216,9280,77.32,96.43,USA,62.43
Software engineer,Healthcare,Decreasing,Low,133675.03,Associate Degree,3,1925,1955,7.75,4.01,USA,30.3
Farm manager,Healthcare,Increasing,Low,77313.29,High School,20,4244,4920,17.85,6.34,USA,47.34
Hospital doctor,Retail,Increasing,Moderate,118101.03,PhD,13,7325,364,60.27,6.68,USA,42.07
Management consultant,Education,Increasing,Low,144766.83,Bachelor’s Degree,15,9723,3332,30.85,26.81,USA,50.66
Chartered loss adjuster,Transportation,Decreasing,High,82393.84,Associate Degree,18,2385,1318,88.04,42.64,USA,70.06
Museum/gallery exhibitions officer,IT,Increasing,Low,125809.85,PhD,9,9510,1763,36.51,24.38,USA,21.6
"Conservator, museum/gallery",Entertainment,Increasing,High,81679.41,High School,20,1749,1842,26.31,12.23,USA,78.39
Housing manager/officer,IT,Decreasing,Moderate,55364.1,High School,4,7276,5748,15.67,65.24,USA,38
"Civil engineer, contracting",Entertainment,Increasing,Low,75156.74,Bachelor’s Degree,8,9741,3497,64.49,54.88,USA,33.4
Land,Healthcare,Decreasing,Moderate,109784.96,Associate Degree,19,7682,6229,49.18,76.55,USA,50.09
"Surveyor, commercial/residential",Manufacturing,Decreasing,Moderate,62956,Bachelor’s Degree,2,1718,5080,69.92,28.82,USA,46.55
"Physicist, medical",Finance,Decreasing,High,56076.63,High School,19,8590,9199,87.62,8.22,USA,48.89
"Engineer, site",Retail,Decreasing,Moderate,85573.09,PhD,19,2420,776,90.36,83.85,USA,38.16
"Therapist, drama",Retail,Increasing,Moderate,112716.29,Bachelor’s Degree,5,1254,363,18.85,18.83,USA,75.06
Insurance claims handler,Education,Decreasing,Moderate,37088.71,PhD,19,8195,6463,71.09,98.29,USA,54.83
Data processing manager,Entertainment,Decreasing,Low,133102.87,PhD,17,6351,5490,64.48,59.72,USA,30.46
Environmental consultant,Transportation,Increasing,Moderate,124637.08,PhD,13,8570,7298,3.74,65.04,USA,23.86
Volunteer coordinator,Education,Decreasing,Low,128992.72,High School,11,8568,8741,38.07,94.53,USA,26.97
Warehouse manager,Entertainment,Increasing,Moderate,96333.74,Bachelor’s Degree,9,1734,9026,44.6,80.39,USA,56.37
"Engineer, land",Manufacturing,Decreasing,High,75602.72,PhD,14,7194,5579,11.37,74.7,USA,69.15
Charity officer,Manufacturing,Decreasing,Low,149962.12,PhD,6,1263,9381,85.45,23.24,USA,70.75
"Geologist, engineering",Entertainment,Decreasing,High,94435.74,PhD,13,8403,2492,16.29,68.67,USA,55.21
Chartered certified accountant,Education,Decreasing,Low,82763.45,Bachelor’s Degree,16,1764,6941,77.49,84.46,USA,34.92
Sports administrator,Education,Increasing,Low,115990.33,Associate Degree,19,4422,3484,36.65,69.76,USA,49.22
"Psychologist, sport and exercise",Healthcare,Decreasing,Moderate,101636,PhD,4,883,375,60.22,42.51,USA,56.01
Computer games developer,Healthcare,Increasing,Low,101515.84,High School,18,6567,4558,92,56.64,USA,69.71
"Scientist, water quality",Healthcare,Decreasing,Low,145344.82,Associate Degree,17,9454,2665,89.47,10.57,USA,50.6
Osteopath,Manufacturing,Increasing,Low,46045.2,Bachelor’s Degree,12,9460,175,39.52,55.17,USA,63.98
Medical physicist,Entertainment,Decreasing,Moderate,50929.65,High School,4,3354,9667,13.85,9.96,USA,35.55
Tourist information centre manager,Transportation,Decreasing,High,72934.48,PhD,13,8555,7674,14.73,39.91,USA,45.65
Human resources officer,Transportation,Decreasing,Moderate,73564.54,Associate Degree,19,7520,4208,7.34,29.24,USA,22.74
"Embryologist, clinical",Finance,Decreasing,High,101414.79,Master’s Degree,16,5484,6486,89.6,39.8,USA,79.56
Systems analyst,Education,Decreasing,Low,38422.76,Associate Degree,8,8098,2165,67.69,12.45,USA,63.09
Publishing rights manager,Transportation,Increasing,Moderate,109900.22,Master’s Degree,8,3711,8864,76.03,5.55,USA,35.57
Sub,Education,Decreasing,Low,145247.12,High School,16,917,2512,45.96,5.26,USA,22.6
Armed forces technical officer,IT,Decreasing,Low,40626.31,Bachelor’s Degree,5,399,4319,19.6,64.09,USA,29.6
"Pilot, airline",Healthcare,Increasing,Moderate,57235.28,High School,16,4282,4506,36.05,52.52,USA,57.18
"Buyer, retail",Entertainment,Increasing,High,148545.91,High School,20,4601,6347,70.71,92.76,USA,23.35
Writer,Education,Increasing,Moderate,68410.51,High School,4,8231,9153,55.52,82.32,USA,20.6
Jewellery designer,Retail,Increasing,High,143134.25,Bachelor’s Degree,7,4912,2663,45.16,83.93,USA,33.02
Corporate treasurer,Finance,Decreasing,Moderate,129531.7,Bachelor’s Degree,6,282,3177,40.67,40.67,USA,76.71
"Engineer, chemical",Entertainment,Decreasing,Low,71961.04,Master’s Degree,10,2555,945,46.44,26.8,USA,53.36
"Physicist, medical",Retail,Increasing,Low,137603.64,Bachelor’s Degree,9,7383,357,30.56,79.72,USA,71.63
Oceanographer,IT,Decreasing,Low,75524.02,High School,1,3531,6590,26.19,78.41,USA,21.27
Broadcast journalist,Education,Decreasing,High,62389.12,Associate Degree,2,6820,8857,49.49,44.58,USA,59.47
Software engineer,Education,Decreasing,Moderate,49704.28,PhD,6,5402,8248,9.26,34.56,USA,21.55
Human resources officer,Entertainment,Increasing,Moderate,86100.99,Master’s Degree,20,2641,9748,73.69,40.16,USA,78.25
Financial trader,Transportation,Increasing,Moderate,91816.5,Master’s Degree,12,7292,8229,28.47,47.13,USA,47.4
"Engineer, civil (contracting)",IT,Decreasing,High,142520.45,High School,15,5696,836,82.61,19.46,USA,57.28
Mechanical engineer,Education,Increasing,High,72865.16,High School,11,6007,2291,65.02,53.3,USA,53.72
"Doctor, general practice",Transportation,Increasing,High,77064.1,Bachelor’s Degree,9,3702,6823,73.95,17,USA,33.25
Corporate investment banker,Retail,Increasing,Moderate,61176.09,Master’s Degree,14,2304,619,18.03,28.4,USA,49.79
"Designer, fashion/clothing",Retail,Decreasing,Low,131906.53,High School,6,9257,8576,65.08,32.26,USA,62.98
"Therapist, sports",Transportation,Increasing,Moderate,124689.3,PhD,9,3671,4035,15.95,34.87,USA,75.53
Energy engineer,Healthcare,Increasing,Low,140194.34,Master’s Degree,20,3559,1695,49.31,13.63,USA,36.6
Banker,Finance,Decreasing,Low,106071.87,Master’s Degree,8,2930,2146,9.14,60.68,USA,69.94
Biomedical engineer,Education,Increasing,Moderate,69459.81,High School,14,963,7721,38.7,28.73,USA,59.38
Learning mentor,Entertainment,Decreasing,Low,98145.6,Bachelor’s Degree,15,9893,2246,8.02,99.3,USA,47.74
"Social research officer, government",IT,Increasing,High,66147.96,Master’s Degree,2,8243,1094,87.34,43.8,USA,65.24
Neurosurgeon,Manufacturing,Decreasing,Moderate,40382.48,High School,7,3271,7021,80.68,92.64,USA,67.99
Administrator,Entertainment,Decreasing,High,59424.22,Associate Degree,1,2607,4416,53.73,42.68,USA,67.04
"Scientist, research (life sciences)",Finance,Increasing,Low,136991.2,High School,18,5087,4828,57.74,19.01,USA,75.31
Scientific laboratory technician,Manufacturing,Decreasing,Moderate,145611.95,Associate Degree,15,1545,1362,56.62,24.56,USA,40.7
Biomedical engineer,Healthcare,Decreasing,Low,30398.13,Master’s Degree,5,754,2849,60.64,53.64,USA,72.31
Editorial assistant,IT,Decreasing,Moderate,148451.78,Bachelor’s Degree,6,2349,354,94.67,8.89,USA,70.41
Clinical biochemist,Finance,Decreasing,Low,36305.55,PhD,17,5082,4563,89.91,57.6,USA,29.99
Holiday representative,Manufacturing,Increasing,Moderate,60422.37,Bachelor’s Degree,8,9802,1571,27.94,62.27,USA,34.21
Government social research officer,Retail,Decreasing,High,141867.42,Bachelor’s Degree,17,6124,7874,95.63,81.82,USA,67
Naval architect,Manufacturing,Decreasing,High,115631.83,Associate Degree,6,5274,1902,72.24,20.23,USA,75.5
Air traffic controller,Transportation,Increasing,Low,74411.57,Master’s Degree,3,2977,4268,22.27,55.38,USA,45.48
Planning and development surveyor,IT,Decreasing,Moderate,30205.09,Associate Degree,3,4320,4766,67.64,12.3,USA,72.27
Film/video editor,IT,Increasing,Moderate,92667.69,Associate Degree,9,4457,8640,37.73,56.73,USA,34.09
"Psychologist, occupational",Transportation,Increasing,Moderate,117138.26,PhD,1,3658,6470,13.07,50.44,USA,79.5
Lawyer,Entertainment,Decreasing,High,93482.74,Master’s Degree,4,9317,8335,48.44,32.82,USA,46.01
Senior tax professional/tax inspector,Manufacturing,Decreasing,Moderate,83013.53,Master’s Degree,17,9886,2331,88.67,80.94,USA,60.46
"Radiographer, diagnostic",Manufacturing,Increasing,Moderate,109363.8,High School,15,716,1421,63.31,83.37,USA,45.45
Education administrator,Finance,Decreasing,Moderate,46670.63,Master’s Degree,0,7099,3231,47.24,60.27,USA,41.16
"Education officer, museum",Retail,Increasing,Moderate,136654.03,Master’s Degree,17,4180,1348,31.13,57.51,USA,79.14
Air cabin crew,Healthcare,Increasing,Moderate,87656.16,Master’s Degree,4,6328,1599,22.16,3.07,USA,57.57
Chartered accountant,Finance,Increasing,Moderate,147424.5,Master’s Degree,9,8135,8339,68.06,26.42,USA,34.21
"Editor, commissioning",IT,Decreasing,High,131404.75,PhD,4,9955,5893,32.16,24.74,USA,59.25
Building services engineer,Healthcare,Decreasing,Low,130189.37,Associate Degree,19,7460,9610,35.16,51.43,USA,30.72
Research scientist (medical),Transportation,Decreasing,Moderate,69987.42,Associate Degree,16,5734,5508,3.17,86.03,USA,50.94
"Journalist, broadcasting",Healthcare,Increasing,High,80915.4,High School,0,333,5312,41.36,0.86,USA,28.77
Dancer,Transportation,Increasing,Moderate,43659.4,Bachelor’s Degree,7,8376,6725,61.82,88.94,USA,79.78
Chiropractor,Entertainment,Decreasing,High,34715.88,Master’s Degree,5,8372,7751,11.37,97.07,USA,23.43
Probation officer,Retail,Decreasing,High,33912.92,Master’s Degree,0,799,5659,33.49,21.84,USA,24.88
Clinical cytogeneticist,Education,Decreasing,High,145020.51,Associate Degree,13,9440,5161,49.53,70.96,USA,79.78
"Programmer, applications",Retail,Decreasing,High,134298.19,Master’s Degree,0,2524,7789,27.7,51.69,USA,36.71
Media planner,Entertainment,Decreasing,Moderate,125530.26,PhD,3,4719,2855,75.29,90.49,USA,32.61
"Journalist, magazine",Finance,Decreasing,Moderate,33280.86,Master’s Degree,16,1582,1290,40.63,66.4,USA,45.73
Osteopath,IT,Increasing,Moderate,36112.32,Associate Degree,10,5069,6184,97.68,61.36,USA,24.07
Clinical cytogeneticist,Retail,Decreasing,High,115453.74,Associate Degree,19,7935,8409,86.9,23.53,USA,50.31
Ranger/warden,Transportation,Decreasing,Moderate,89709.66,PhD,0,5476,3628,50.01,98,USA,42.02
"Scientist, water quality",IT,Increasing,High,38660.97,Master’s Degree,1,7605,6816,30.15,54.98,USA,49.28
Biomedical engineer,IT,Decreasing,Low,67353.05,Bachelor’s Degree,19,7403,578,84.72,53.33,USA,78.87
"Journalist, newspaper",Healthcare,Increasing,High,41132.23,Master’s Degree,12,6255,9316,55.24,64.31,USA,74.93
"Copywriter, advertising",Manufacturing,Decreasing,Low,40338.37,PhD,6,573,7050,66.86,65.89,USA,62.87
Press sub,Entertainment,Decreasing,High,114379.71,High School,16,1804,592,24.17,74.94,USA,65.47
"Engineer, manufacturing",Healthcare,Increasing,High,69863.37,High School,7,8319,5752,52.06,45.28,USA,70.47
Clinical molecular geneticist,Entertainment,Decreasing,Moderate,105496.35,PhD,12,6099,1209,11.8,90.59,USA,34.7
Facilities manager,Finance,Decreasing,Moderate,140648.9,High School,9,6455,7445,6.51,64.3,USA,72.12
Waste management officer,Retail,Decreasing,Low,139812.4,Associate Degree,8,528,5225,97.29,41.4,USA,56.92
Dispensing optician,Manufacturing,Decreasing,High,83726.28,PhD,2,1015,6448,33.4,87.54,USA,65.78
Warehouse manager,Education,Increasing,Low,32728.81,Master’s Degree,6,2473,7158,31.45,44.72,USA,65.29
Police officer,IT,Decreasing,High,132250.44,High School,14,6529,6177,28.8,60.42,USA,75
"Editor, commissioning",Transportation,Increasing,High,122055.62,Master’s Degree,0,2287,6407,32.08,70.31,USA,43.06
Fast food restaurant manager,Healthcare,Decreasing,Moderate,73712.07,Associate Degree,20,4425,8128,42.52,39.31,USA,28.01
Cabin crew,Entertainment,Decreasing,Moderate,57578.16,Associate Degree,13,469,9800,49.51,92.94,USA,70.18
Occupational psychologist,Transportation,Increasing,Low,31750.18,Bachelor’s Degree,4,1731,2834,44.79,75.61,USA,34.14
"Geologist, engineering",Transportation,Increasing,High,32468.56,Bachelor’s Degree,1,1590,1396,50.92,38.49,USA,24.39
Transport planner,Manufacturing,Increasing,High,126058.5,High School,1,717,1207,33.14,77.99,USA,56.85
Conference centre manager,Manufacturing,Decreasing,Moderate,136778.81,PhD,11,8470,955,12.54,88.48,USA,20.56
"Engineer, drilling",IT,Decreasing,Moderate,73663.31,High School,4,7323,4061,62.64,89.44,USA,28.68
Financial manager,Retail,Increasing,High,52745.99,PhD,15,7644,8144,67.55,74.1,USA,43.96
Hydrographic surveyor,Entertainment,Increasing,High,103931.13,High School,17,2739,6791,95.14,33.96,USA,50.58
Field trials officer,Healthcare,Increasing,High,79076.31,PhD,0,4636,6665,30.51,38.21,USA,46.88
Electrical engineer,IT,Decreasing,High,107623.63,Bachelor’s Degree,3,4577,4932,7.84,3.58,USA,22.23
Information systems manager,Retail,Decreasing,Moderate,84010.03,High School,0,2154,5639,3.23,37.08,USA,57.26
"Engineer, broadcasting (operations)",Retail,Decreasing,Moderate,94495.63,High School,16,8794,971,52.05,49.12,USA,28.98
Chief of Staff,Finance,Increasing,Moderate,54862.39,High School,0,2432,8712,44.8,19.23,USA,33.33
"Engineer, chemical",Education,Increasing,Moderate,57391.39,Associate Degree,2,9815,9479,94.93,26.9,USA,63.21
"Surveyor, land/geomatics",IT,Decreasing,High,56783.39,High School,4,6264,9147,44.99,2.58,USA,31.8
Medical illustrator,Healthcare,Decreasing,Moderate,126058.92,Master’s Degree,8,5981,5038,97.3,52.94,USA,71.22
Financial manager,Healthcare,Decreasing,Moderate,142444.99,Master’s Degree,3,7215,3804,19.12,84.45,USA,68.92
Psychiatrist,IT,Decreasing,Low,45841.42,Associate Degree,2,8222,2412,85.06,79.75,USA,51.98
"Pilot, airline",IT,Decreasing,Moderate,142609.67,Bachelor’s Degree,17,2413,2034,22.21,69.13,USA,45.55
"Engineer, water",Entertainment,Increasing,Moderate,105646.05,Master’s Degree,11,6900,2527,15.97,67.75,USA,42.25
Tourist information centre manager,Finance,Increasing,Low,109159.25,PhD,1,6719,8734,17.08,60.82,USA,42.09
Technical brewer,Education,Increasing,High,130406.41,Bachelor’s Degree,2,607,7575,93.65,98.07,USA,60.64
Clinical cytogeneticist,Transportation,Decreasing,High,96574.03,Bachelor’s Degree,6,8382,1634,37.74,16.55,USA,63.45
Translator,Manufacturing,Decreasing,Low,47846.28,Master’s Degree,19,7311,8047,13.7,90.69,USA,75.85
Teaching laboratory technician,Retail,Decreasing,Moderate,68918.43,High School,10,8538,6842,21.31,35.66,USA,48.81
"Programmer, multimedia",Finance,Decreasing,Low,112649.18,High School,16,8915,9316,65.2,11,USA,49.43
Clinical psychologist,Entertainment,Decreasing,Moderate,58585.13,Master’s Degree,20,8051,8178,39.75,35.13,USA,20.84
Agricultural consultant,Education,Decreasing,High,86812.92,Associate Degree,3,1455,8052,71.02,25.12,USA,27.61
Regulatory affairs officer,Entertainment,Decreasing,Moderate,92940.37,Associate Degree,12,862,6722,2.73,94.79,USA,47.37
"Surveyor, planning and development",Entertainment,Increasing,Moderate,82088.72,Master’s Degree,10,7792,4673,22.86,83,USA,28
Government social research officer,Transportation,Increasing,Moderate,35023.33,Bachelor’s Degree,10,1516,4060,48.47,57.15,USA,68.01
"Geneticist, molecular",Manufacturing,Decreasing,Moderate,103485.02,PhD,1,4368,4488,7.28,37.01,USA,20.72
Public relations account executive,Transportation,Decreasing,Moderate,59762.37,Associate Degree,3,1599,1159,37.49,30.95,USA,39.73
Estate manager/land agent,Manufacturing,Increasing,Low,33392.41,High School,5,6670,2175,68.98,80.95,USA,62.02
Media buyer,Finance,Increasing,Moderate,93414.94,Bachelor’s Degree,1,5795,1522,87.89,85.28,USA,43.02
English as a second language teacher,Entertainment,Increasing,Moderate,92078.09,Associate Degree,10,8481,8815,22.55,56.27,USA,51.44
Company secretary,Healthcare,Increasing,High,103375.55,PhD,7,4002,8772,31.64,98.54,USA,27
"Therapist, drama",Finance,Decreasing,Moderate,133399.89,Associate Degree,17,6930,5280,57.71,49.18,USA,57.02
Health visitor,Education,Decreasing,Low,61192.48,PhD,9,4028,6586,35.48,18.85,USA,79.8
Analytical chemist,Retail,Decreasing,High,50038.33,Associate Degree,20,7065,4389,33.5,8.46,USA,54.67
Historic buildings inspector/conservation officer,Education,Increasing,Moderate,112300.6,Bachelor’s Degree,6,2000,4625,32.48,83.61,USA,56.37
Manufacturing systems engineer,Manufacturing,Decreasing,Low,83691.88,Master’s Degree,19,501,6571,11.07,59.85,USA,61.03
Community arts worker,Finance,Increasing,Low,35639.86,Bachelor’s Degree,0,6704,5115,6.38,76.01,USA,50.29
Investment analyst,Education,Decreasing,Low,126752.13,High School,15,529,510,27.24,95.32,USA,75.39
Theme park manager,Entertainment,Increasing,Moderate,64545.04,Master’s Degree,12,7190,9143,87.94,21.01,USA,76.6
Therapeutic radiographer,Retail,Decreasing,Moderate,56770.63,High School,11,1301,5857,1.66,55.61,USA,29.8
Warehouse manager,Retail,Increasing,Moderate,119170.71,High School,16,3221,8999,70.05,68.27,USA,55.82
Quarry manager,Healthcare,Increasing,Low,81501.26,PhD,10,1122,7678,57.22,95.35,USA,61.81
"Therapist, horticultural",Transportation,Decreasing,Low,44808.94,PhD,6,3306,2601,96.71,1.94,USA,22.5
"Engineer, technical sales",Manufacturing,Increasing,Low,117221.3,Bachelor’s Degree,7,7820,5197,52.95,89.89,USA,24.3
Firefighter,Finance,Decreasing,Low,85306.73,Master’s Degree,9,1307,212,52.06,31.67,USA,77.27
"Engineer, maintenance",Finance,Decreasing,Low,126467.43,Master’s Degree,15,3708,8367,78.08,36.85,USA,36.31
Pharmacologist,Manufacturing,Increasing,Low,116311.89,Master’s Degree,20,2249,1935,89.73,83.65,USA,36.81
Risk analyst,Healthcare,Increasing,Moderate,39031.75,High School,1,2572,4950,97.32,68.09,USA,34.22
Recruitment consultant,Retail,Decreasing,Low,115605.15,High School,8,5007,4139,28.12,42.58,USA,62.27
Company secretary,Transportation,Decreasing,Low,41109.9,Bachelor’s Degree,2,6810,9568,42.53,1.63,USA,72.38
Banker,Transportation,Increasing,Low,119847,High School,14,9346,8160,62.75,75.94,USA,64.14
Fashion designer,Retail,Increasing,Moderate,142866.62,PhD,11,9614,2287,92.32,96.72,USA,67.75
Soil scientist,Transportation,Decreasing,Moderate,66597.65,Master’s Degree,0,2519,7436,57.23,79.88,USA,33.25
Immunologist,Finance,Increasing,High,122318.34,PhD,20,9547,8585,86.73,71.16,USA,36.26
Sports therapist,Manufacturing,Increasing,Moderate,60827.07,Bachelor’s Degree,13,5902,5954,41.12,92.84,USA,35.97
Accommodation manager,Transportation,Decreasing,High,102653.1,Master’s Degree,11,9508,2488,83.09,63.64,USA,76.68
"Investment banker, corporate",IT,Increasing,High,135619,High School,7,7821,814,0.67,15.75,USA,48.24
"Loss adjuster, chartered",Healthcare,Increasing,High,65063.4,Associate Degree,16,1330,5366,89.48,93.66,USA,50.8
Editorial assistant,IT,Increasing,High,94536.17,High School,6,3238,6288,18.77,47.26,USA,53.82
"Nurse, adult",Manufacturing,Decreasing,Moderate,145601.81,PhD,4,8278,6965,10.39,71.08,USA,76.53
"Engineer, energy",Retail,Increasing,High,123338.56,High School,0,2855,1132,24.56,34.83,USA,23.59
"Teacher, English as a foreign language",Finance,Decreasing,High,76798.67,High School,4,9176,5758,54.08,21.59,USA,26.75
Land/geomatics surveyor,IT,Increasing,Moderate,84419.13,High School,3,5600,8745,76.45,88.7,USA,30.03
"Conservator, museum/gallery",Retail,Increasing,Moderate,68394,PhD,2,198,7314,48.49,90.16,USA,46.45
Fish farm manager,Education,Decreasing,Moderate,91390.24,Master’s Degree,5,3372,3048,99.88,18.67,USA,50.81
"Engineer, automotive",Finance,Increasing,Moderate,36899.65,Bachelor’s Degree,12,3402,6080,80.82,29.7,USA,76.81
Intelligence analyst,Healthcare,Increasing,Moderate,57254.3,Bachelor’s Degree,1,7310,3308,72.56,2.74,USA,23
Financial risk analyst,Finance,Increasing,Moderate,143947.15,High School,19,8503,3405,9.48,92.61,USA,44.3
Animator,Healthcare,Increasing,High,64619.57,High School,1,3649,469,73.63,62.67,USA,50.55
Cartographer,Retail,Decreasing,Low,61130.87,PhD,15,4750,557,14.81,10.98,USA,24.26
"Programme researcher, broadcasting/film/video",IT,Decreasing,High,128719.85,Master’s Degree,9,7269,9475,63.14,32.02,USA,58.19
Community education officer,Retail,Decreasing,High,70720.23,Bachelor’s Degree,9,5965,6221,90.67,83.52,USA,40.79
Learning mentor,Healthcare,Increasing,High,128554.36,High School,3,5453,4165,5.67,88.51,USA,75.49
Customer service manager,Healthcare,Increasing,Low,133504.01,Master’s Degree,6,1394,2402,24.2,1.84,USA,77.85
Aid worker,IT,Decreasing,Moderate,139177.85,Associate Degree,2,1437,1388,8.85,9.59,USA,29.53
Police officer,Transportation,Increasing,Low,77281.16,High School,0,906,9130,3.08,23.68,USA,31.8
Commercial art gallery manager,Education,Increasing,High,88763.62,Bachelor’s Degree,20,9561,2307,11.6,41.91,USA,49.63
Primary school teacher,Manufacturing,Decreasing,Low,64243.78,Associate Degree,16,2455,7438,90.09,89.25,USA,56.83
Hydrographic surveyor,Healthcare,Increasing,Low,141348.74,Bachelor’s Degree,2,8174,5399,48.45,30.27,USA,27.94
"Producer, radio",IT,Decreasing,Moderate,74183.36,Associate Degree,16,5917,3600,8.43,57.88,USA,27.84
Energy engineer,Education,Decreasing,Low,138389.39,Master’s Degree,18,743,5027,18.21,26.25,USA,68.82
Emergency planning/management officer,Entertainment,Decreasing,High,86442.83,Bachelor’s Degree,8,341,1689,28.24,68.89,USA,73.95
Chiropodist,Retail,Increasing,Moderate,77095.55,Associate Degree,14,6177,942,21.72,86.72,USA,69.53
"Engineer, automotive",Retail,Decreasing,Moderate,140421.23,Bachelor’s Degree,14,9376,6449,95.15,84.34,USA,44.95
"Administrator, Civil Service",Retail,Increasing,Moderate,55901.18,High School,15,6983,9767,10.48,46.86,USA,31.65
Financial planner,Manufacturing,Increasing,Moderate,100532.55,PhD,1,7408,7209,61.92,39.07,USA,23.63
Information systems manager,Entertainment,Increasing,Low,66665.49,Associate Degree,8,2310,4440,79.62,24.56,USA,52.84
"Engineer, control and instrumentation",Transportation,Increasing,High,31448.44,Master’s Degree,8,7862,9483,59.97,3.71,USA,50.96
Politician's assistant,Healthcare,Decreasing,Moderate,122805.08,Associate Degree,2,8859,8148,79.85,83.48,USA,53.63
"Physicist, medical",Entertainment,Increasing,Low,56805.08,Master’s Degree,0,6333,9628,45.61,49.12,USA,60.56
"Engineer, chemical",Education,Increasing,Moderate,124665.99,Master’s Degree,3,4738,8327,40.76,32.89,USA,29.74
Air cabin crew,Education,Decreasing,Moderate,48941.79,Master’s Degree,17,1632,8228,14.38,5.05,USA,67.66
Occupational hygienist,Manufacturing,Decreasing,Moderate,67532.98,High School,14,1014,1574,33.66,47.97,USA,53.45
Cabin crew,IT,Increasing,Low,47357.34,Bachelor’s Degree,0,3457,7189,4.54,22.79,USA,41.57
Armed forces logistics/support/administrative officer,Finance,Decreasing,Low,81502.56,High School,19,3421,6221,58.1,40.06,USA,36.86
Holiday representative,Finance,Decreasing,Moderate,145039.36,PhD,10,4393,2931,71.45,24.1,USA,46.32
"Engineer, electrical",Education,Decreasing,Moderate,62762.57,Bachelor’s Degree,5,5830,8030,70.35,87.35,USA,75.2
Health and safety adviser,Finance,Decreasing,Low,146823.51,Master’s Degree,1,1514,295,39.3,77.91,USA,67.4
Brewing technologist,Education,Decreasing,Moderate,52278.1,Associate Degree,3,5595,3572,90.19,91.42,USA,25.93
Sports administrator,Transportation,Increasing,Low,125162.83,Associate Degree,8,7918,3673,37.27,57.52,USA,63.56
Customer service manager,Entertainment,Increasing,Moderate,103272.33,Master’s Degree,3,6092,5285,58.65,46.77,USA,71.66
Charity officer,Education,Increasing,High,78275.09,PhD,4,1423,1055,12.83,85.65,USA,63.77
Community development worker,Retail,Increasing,Moderate,108596.98,Bachelor’s Degree,4,8261,5687,3.45,71.89,USA,61.37
"Therapist, speech and language",IT,Increasing,High,62302.49,Master’s Degree,16,9765,8937,66.65,96.42,USA,31.56
Quality manager,Manufacturing,Increasing,High,118259.21,High School,20,2609,7012,62.09,69.21,USA,49.97
Commercial art gallery manager,Manufacturing,Decreasing,High,124791.98,High School,9,7278,7674,44.15,71.23,USA,60.92
Fashion designer,Entertainment,Decreasing,High,83506.63,High School,7,3950,7909,16.94,63.22,USA,26.36
Multimedia specialist,IT,Increasing,Moderate,80988.96,Associate Degree,14,4716,1948,62.85,17.38,USA,55.8
Garment/textile technologist,Finance,Increasing,Low,129033.54,Associate Degree,9,6958,9336,21.46,71.15,USA,59.61
Housing manager/officer,Transportation,Increasing,Low,102056.7,PhD,18,2311,3336,64.51,17.11,USA,49.49
